Mapping parameters for Apostichopus parvimensis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 244): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Apostichopus,parvimensis,-46.75,-75.75,5407:465:4,0.19
Apostichopus,parvimensis,-47.75,-75.25,5407:475:3,0.14
Apostichopus,parvimensis,0.25,-79.75,7007:209:2,0.11
Apostichopus,parvimensis,1.25,-78.75,7007:218:2,0.04
Apostichopus,parvimensis,1.25,-79.25,7007:219:1,0.03
Apostichopus,parvimensis,1.25,-79.75,7007:219:2,0.18
Apostichopus,parvimensis,27.75,-114.25,7211:374:3,0.07
Apostichopus,parvimensis,36.75,-121.75,7312:361:4,0.09
Apostichopus,parvimensis,36.75,-122.25,7312:362:3,0.19
Apostichopus,parvimensis,38.75,-123.25,7312:383:3,0.17
Apostichopus,parvimensis,41.25,-124.25,7412:114:1,0.17
Apostichopus,parvimensis,41.75,-124.25,7412:114:3,0.13
Apostichopus,parvimensis,42.25,-124.25,7412:124:1,0.18
Apostichopus,parvimensis,44.25,-124.25,7412:144:1,0.14
Apostichopus,parvimensis,50.25,-128.25,7512:208:1,0.02
Apostichopus,parvimensis,-26.75,-70.75,5207:360:4,0.26
Apostichopus,parvimensis,-2.75,-79.75,5007:229:4,0.33
Apostichopus,parvimensis,-3.25,-79.75,5007:239:2,0.27
Apostichopus,parvimensis,-2.25,-80.25,5008:120:1,0.20
Apostichopus,parvimensis,-2.75,-80.75,5008:120:4,0.39
Apostichopus,parvimensis,-3.25,-80.75,5008:130:2,0.32
Apostichopus,parvimensis,-3.75,-80.75,5008:130:4,0.23
Apostichopus,parvimensis,-4.25,-81.25,5008:141:1,0.23
Apostichopus,parvimensis,-0.75,-89.75,5008:209:4,0.39
Apostichopus,parvimensis,-0.75,-90.25,5009:100:3,0.36
Apostichopus,parvimensis,-0.75,-90.75,5009:100:4,0.36
Apostichopus,parvimensis,-0.25,-91.25,5009:101:1,0.27
Apostichopus,parvimensis,-0.75,-91.25,5009:101:3,0.20
Apostichopus,parvimensis,-1.25,-90.25,5009:110:1,0.30
Apostichopus,parvimensis,-1.25,-90.75,5009:110:2,0.29
Apostichopus,parvimensis,-1.25,-91.25,5009:111:1,0.28
Apostichopus,parvimensis,-23.25,-70.25,5207:130:1,0.33
Apostichopus,parvimensis,-28.75,-71.25,5207:381:3,0.28
Apostichopus,parvimensis,-31.75,-71.75,5307:111:4,0.20
Apostichopus,parvimensis,-32.75,-71.75,5307:121:4,0.26
Apostichopus,parvimensis,-33.25,-71.75,5307:131:2,0.26
Apostichopus,parvimensis,-33.75,-71.75,5307:131:4,0.25
Apostichopus,parvimensis,-34.25,-71.75,5307:141:2,0.24
Apostichopus,parvimensis,-34.75,-72.25,5307:142:3,0.20
Apostichopus,parvimensis,-36.75,-73.75,5307:363:4,0.26
Apostichopus,parvimensis,-37.25,-73.75,5307:373:2,0.35
Apostichopus,parvimensis,-37.75,-73.25,5307:373:3,0.22
Apostichopus,parvimensis,-37.75,-73.75,5307:373:4,0.38
Apostichopus,parvimensis,-38.25,-73.25,5307:383:1,0.30
Apostichopus,parvimensis,-38.25,-73.75,5307:383:2,0.34
Apostichopus,parvimensis,-38.75,-73.25,5307:383:3,0.36
Apostichopus,parvimensis,-38.75,-73.75,5307:383:4,0.25
Apostichopus,parvimensis,-39.75,-73.75,5307:393:4,0.34
Apostichopus,parvimensis,-40.25,-73.75,5407:103:2,0.22
Apostichopus,parvimensis,-41.25,-73.75,5407:113:2,0.30
Apostichopus,parvimensis,-41.75,-73.75,5407:113:4,0.37
Apostichopus,parvimensis,-42.25,-73.75,5407:123:2,0.37
Apostichopus,parvimensis,-42.75,-74.25,5407:124:3,0.38
Apostichopus,parvimensis,-43.25,-73.75,5407:133:2,0.22
