Mapping parameters for Strongylocentrotus purpuratus (purple urchin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 1388): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Strongylocentrotus,purpuratus,-16.25,-72.75,5107:362:2,0.01
Strongylocentrotus,purpuratus,-16.25,-73.25,5107:363:1,0.18
Strongylocentrotus,purpuratus,-17.25,-71.25,5107:371:1,0.16
Strongylocentrotus,purpuratus,-21.25,-81.75,5208:111:2,0.16
Strongylocentrotus,purpuratus,-25.25,-81.75,5208:351:2,0.05
Strongylocentrotus,purpuratus,-25.75,-84.25,5208:354:3,0.10
Strongylocentrotus,purpuratus,-25.75,-85.25,5208:455:3,0.06
Strongylocentrotus,purpuratus,-25.75,-86.75,5208:456:4,0.07
Strongylocentrotus,purpuratus,-25.25,-87.25,5208:457:1,0.06
Strongylocentrotus,purpuratus,-25.25,-89.25,5208:459:1,0.02
Strongylocentrotus,purpuratus,-25.75,-89.25,5208:459:3,0.02
Strongylocentrotus,purpuratus,-20.25,-174.75,5217:104:2,0.01
Strongylocentrotus,purpuratus,-20.75,-174.75,5217:104:4,0.01
Strongylocentrotus,purpuratus,-21.25,-174.75,5217:114:2,0.01
Strongylocentrotus,purpuratus,-29.25,-177.75,5217:497:2,0.02
Strongylocentrotus,purpuratus,-36.25,-125.25,5312:465:1,0.13
Strongylocentrotus,purpuratus,-30.25,-178.25,5317:208:1,0.03
Strongylocentrotus,purpuratus,-30.75,-178.25,5317:208:3,0.03
Strongylocentrotus,purpuratus,-30.75,-178.75,5317:208:4,0.04
Strongylocentrotus,purpuratus,-31.25,-178.75,5317:218:2,0.06
Strongylocentrotus,purpuratus,-41.25,-72.25,5407:112:1,0.05
Strongylocentrotus,purpuratus,-41.75,-72.25,5407:112:3,0.04
Strongylocentrotus,purpuratus,-41.75,-72.75,5407:112:4,0.15
Strongylocentrotus,purpuratus,-41.25,-73.25,5407:113:1,0.12
Strongylocentrotus,purpuratus,-41.25,-74.25,5407:114:1,0.02
Strongylocentrotus,purpuratus,-45.25,-72.75,5407:352:2,0.06
Strongylocentrotus,purpuratus,-46.25,-73.25,5407:363:1,0.06
Strongylocentrotus,purpuratus,-47.25,-73.75,5407:373:2,0.06
Strongylocentrotus,purpuratus,-47.75,-73.25,5407:373:3,0.06
Strongylocentrotus,purpuratus,-46.25,-74.25,5407:364:1,0.06
Strongylocentrotus,purpuratus,-48.25,-73.25,5407:383:1,0.06
Strongylocentrotus,purpuratus,-48.75,-73.75,5407:383:4,0.06
Strongylocentrotus,purpuratus,-49.75,-73.75,5407:393:4,0.05
Strongylocentrotus,purpuratus,-49.25,-74.75,5407:394:2,0.06
Strongylocentrotus,purpuratus,-44.25,-175.25,5417:245:1,0.18
Strongylocentrotus,purpuratus,-54.25,-68.75,5506:248:2,0.04
Strongylocentrotus,purpuratus,-56.25,-66.25,5506:466:1,0.01
Strongylocentrotus,purpuratus,-50.25,-73.75,5507:103:2,0.05
Strongylocentrotus,purpuratus,-50.75,-73.25,5507:103:3,0.05
Strongylocentrotus,purpuratus,-50.75,-74.25,5507:104:3,0.10
Strongylocentrotus,purpuratus,-51.25,-72.75,5507:112:2,0.05
Strongylocentrotus,purpuratus,-50.75,-76.25,5507:206:3,0.16
Strongylocentrotus,purpuratus,-55.75,-70.75,5507:350:4,0.18
Strongylocentrotus,purpuratus,0.25,-79.75,7007:209:2,0.01
Strongylocentrotus,purpuratus,0.75,-79.75,7007:209:4,0.10
Strongylocentrotus,purpuratus,1.25,-78.75,7007:218:2,0.09
Strongylocentrotus,purpuratus,1.75,-78.75,7007:218:4,0.05
Strongylocentrotus,purpuratus,1.25,-79.25,7007:219:1,0.06
Strongylocentrotus,purpuratus,1.25,-79.75,7007:219:2,0.08
Strongylocentrotus,purpuratus,1.75,-79.25,7007:219:3,0.05
Strongylocentrotus,purpuratus,2.75,-77.75,7007:227:4,0.03
Strongylocentrotus,purpuratus,2.25,-78.75,7007:228:2,0.04
Strongylocentrotus,purpuratus,2.75,-78.25,7007:228:3,0.02
Strongylocentrotus,purpuratus,2.75,-78.75,7007:228:4,0.02
Strongylocentrotus,purpuratus,2.25,-79.25,7007:229:1,0.01
Strongylocentrotus,purpuratus,3.25,-77.25,7007:237:1,0.02
Strongylocentrotus,purpuratus,0.25,-80.25,7008:100:1,0.15
Strongylocentrotus,purpuratus,0.75,-80.25,7008:100:3,0.11
Strongylocentrotus,purpuratus,1.25,-91.75,7009:111:2,0.05
Strongylocentrotus,purpuratus,1.75,-91.75,7009:111:4,0.12
Strongylocentrotus,purpuratus,1.75,-157.25,7015:217:3,0.01
Strongylocentrotus,purpuratus,1.75,-157.75,7015:217:4,0.01
Strongylocentrotus,purpuratus,18.75,-110.75,7111:380:4,0.01
Strongylocentrotus,purpuratus,18.75,-111.25,7111:381:3,0.01
Strongylocentrotus,purpuratus,18.25,-114.75,7111:384:2,0.01
Strongylocentrotus,purpuratus,19.25,-110.75,7111:390:2,0.01
Strongylocentrotus,purpuratus,19.25,-154.75,7115:394:2,0.01
Strongylocentrotus,purpuratus,19.75,-154.75,7115:394:4,0.02
Strongylocentrotus,purpuratus,18.75,-155.75,7115:485:4,0.02
Strongylocentrotus,purpuratus,19.25,-155.25,7115:495:1,0.02
Strongylocentrotus,purpuratus,19.25,-155.75,7115:495:2,0.02
Strongylocentrotus,purpuratus,19.75,-155.25,7115:495:3,0.02
Strongylocentrotus,purpuratus,19.75,-155.75,7115:495:4,0.02
Strongylocentrotus,purpuratus,19.75,-156.25,7115:496:3,0.02
Strongylocentrotus,purpuratus,22.25,-105.75,7210:225:2,0.02
Strongylocentrotus,purpuratus,22.75,-105.75,7210:225:4,0.05
Strongylocentrotus,purpuratus,22.25,-106.25,7210:226:1,0.01
Strongylocentrotus,purpuratus,22.75,-106.25,7210:226:3,0.03
Strongylocentrotus,purpuratus,22.75,-109.75,7210:229:4,0.02
Strongylocentrotus,purpuratus,23.25,-106.25,7210:236:1,0.08
Strongylocentrotus,purpuratus,23.25,-106.75,7210:236:2,0.03
Strongylocentrotus,purpuratus,23.75,-106.75,7210:236:4,0.09
Strongylocentrotus,purpuratus,23.75,-107.25,7210:237:3,0.06
Strongylocentrotus,purpuratus,23.75,-107.75,7210:237:4,0.03
Strongylocentrotus,purpuratus,23.25,-109.25,7210:239:1,0.02
Strongylocentrotus,purpuratus,23.25,-109.75,7210:239:2,0.03
Strongylocentrotus,purpuratus,23.75,-109.25,7210:239:3,0.02
Strongylocentrotus,purpuratus,23.75,-109.75,7210:239:4,0.02
Strongylocentrotus,purpuratus,24.25,-107.25,7210:247:1,0.10
Strongylocentrotus,purpuratus,24.25,-107.75,7210:247:2,0.09
Strongylocentrotus,purpuratus,24.75,-107.75,7210:247:4,0.11
Strongylocentrotus,purpuratus,24.25,-108.25,7210:248:1,0.04
Strongylocentrotus,purpuratus,24.75,-108.25,7210:248:3,0.10
Strongylocentrotus,purpuratus,24.75,-108.75,7210:248:4,0.03
Strongylocentrotus,purpuratus,24.25,-109.75,7210:249:2,0.02
Strongylocentrotus,purpuratus,25.25,-107.75,7210:457:2,0.01
Strongylocentrotus,purpuratus,25.25,-108.25,7210:458:1,0.10
Strongylocentrotus,purpuratus,25.25,-108.75,7210:458:2,0.11
Strongylocentrotus,purpuratus,25.75,-108.75,7210:458:4,0.01
Strongylocentrotus,purpuratus,25.25,-109.25,7210:459:1,0.06
Strongylocentrotus,purpuratus,25.75,-109.25,7210:459:3,0.09
Strongylocentrotus,purpuratus,25.75,-109.75,7210:459:4,0.05
Strongylocentrotus,purpuratus,26.25,-109.25,7210:469:1,0.09
Strongylocentrotus,purpuratus,26.25,-109.75,7210:469:2,0.05
Strongylocentrotus,purpuratus,26.75,-109.25,7210:469:3,0.09
Strongylocentrotus,purpuratus,26.75,-109.75,7210:469:4,0.08
Strongylocentrotus,purpuratus,27.25,-109.75,7210:479:2,0.06
Strongylocentrotus,purpuratus,22.75,-110.25,7211:120:3,0.03
Strongylocentrotus,purpuratus,23.25,-110.25,7211:130:1,0.05
Strongylocentrotus,purpuratus,23.25,-110.75,7211:130:2,0.02
Strongylocentrotus,purpuratus,23.75,-110.25,7211:130:3,0.04
Strongylocentrotus,purpuratus,23.75,-110.75,7211:130:4,0.06
Strongylocentrotus,purpuratus,23.75,-111.75,7211:131:4,0.05
Strongylocentrotus,purpuratus,24.25,-110.25,7211:140:1,0.03
Strongylocentrotus,purpuratus,24.25,-110.75,7211:140:2,0.05
Strongylocentrotus,purpuratus,24.75,-110.25,7211:140:3,0.03
Strongylocentrotus,purpuratus,24.75,-110.75,7211:140:4,0.03
Strongylocentrotus,purpuratus,24.25,-111.25,7211:141:1,0.07
Strongylocentrotus,purpuratus,24.25,-111.75,7211:141:2,0.08
Strongylocentrotus,purpuratus,24.75,-111.75,7211:141:4,0.13
Strongylocentrotus,purpuratus,24.25,-112.25,7211:142:1,0.07
Strongylocentrotus,purpuratus,24.75,-112.75,7211:142:4,0.07
Strongylocentrotus,purpuratus,24.75,-115.75,7211:245:4,0.02
Strongylocentrotus,purpuratus,25.25,-110.25,7211:350:1,0.01
Strongylocentrotus,purpuratus,25.25,-110.75,7211:350:2,0.02
Strongylocentrotus,purpuratus,25.75,-110.75,7211:350:4,0.02
Strongylocentrotus,purpuratus,25.75,-111.25,7211:351:3,0.03
Strongylocentrotus,purpuratus,25.25,-112.75,7211:352:2,0.16
Strongylocentrotus,purpuratus,25.25,-113.25,7211:353:1,0.05
Strongylocentrotus,purpuratus,26.25,-110.75,7211:360:2,0.02
Strongylocentrotus,purpuratus,26.75,-110.25,7211:360:3,0.05
Strongylocentrotus,purpuratus,26.25,-111.25,7211:361:1,0.02
Strongylocentrotus,purpuratus,26.75,-111.25,7211:361:3,0.02
Strongylocentrotus,purpuratus,26.75,-111.75,7211:361:4,0.08
Strongylocentrotus,purpuratus,27.25,-110.25,7211:370:1,0.08
Strongylocentrotus,purpuratus,27.25,-110.75,7211:370:2,0.05
Strongylocentrotus,purpuratus,27.75,-110.75,7211:370:4,0.08
Strongylocentrotus,purpuratus,27.25,-111.75,7211:371:2,0.03
Strongylocentrotus,purpuratus,27.75,-111.25,7211:371:3,0.05
Strongylocentrotus,purpuratus,27.25,-112.25,7211:372:1,0.04
Strongylocentrotus,purpuratus,27.75,-112.25,7211:372:3,0.06
Strongylocentrotus,purpuratus,27.75,-113.75,7211:373:4,0.09
Strongylocentrotus,purpuratus,28.25,-111.25,7211:381:1,0.07
Strongylocentrotus,purpuratus,28.25,-111.75,7211:381:2,0.06
Strongylocentrotus,purpuratus,28.75,-111.75,7211:381:4,0.08
Strongylocentrotus,purpuratus,28.25,-112.25,7211:382:1,0.08
Strongylocentrotus,purpuratus,28.25,-112.75,7211:382:2,0.19
Strongylocentrotus,purpuratus,28.75,-112.25,7211:382:3,0.11
Strongylocentrotus,purpuratus,28.75,-112.75,7211:382:4,0.15
Strongylocentrotus,purpuratus,28.75,-113.75,7211:383:4,0.07
Strongylocentrotus,purpuratus,29.25,-112.25,7211:392:1,0.08
Strongylocentrotus,purpuratus,29.25,-112.75,7211:392:2,0.07
Strongylocentrotus,purpuratus,29.75,-112.25,7211:392:3,0.06
Strongylocentrotus,purpuratus,29.75,-112.75,7211:392:4,0.05
Strongylocentrotus,purpuratus,29.25,-113.25,7211:393:1,0.16
Strongylocentrotus,purpuratus,29.75,-113.25,7211:393:3,0.06
Strongylocentrotus,purpuratus,29.75,-113.75,7211:393:4,0.06
Strongylocentrotus,purpuratus,29.75,-114.25,7211:394:3,0.05
Strongylocentrotus,purpuratus,20.25,-155.25,7215:205:1,0.02
Strongylocentrotus,purpuratus,20.25,-155.75,7215:205:2,0.02
Strongylocentrotus,purpuratus,20.75,-155.75,7215:205:4,0.02
Strongylocentrotus,purpuratus,20.75,-156.25,7215:206:3,0.02
Strongylocentrotus,purpuratus,20.75,-156.75,7215:206:4,0.01
Strongylocentrotus,purpuratus,20.75,-157.75,7215:207:4,0.01
Strongylocentrotus,purpuratus,21.25,-156.25,7215:216:1,0.02
Strongylocentrotus,purpuratus,21.25,-156.75,7215:216:2,0.02
Strongylocentrotus,purpuratus,21.25,-157.25,7215:217:1,0.01
Strongylocentrotus,purpuratus,21.25,-157.75,7215:217:2,0.01
Strongylocentrotus,purpuratus,21.75,-157.75,7215:217:4,0.01
Strongylocentrotus,purpuratus,21.25,-158.25,7215:218:1,0.01
Strongylocentrotus,purpuratus,21.75,-158.25,7215:218:3,0.01
Strongylocentrotus,purpuratus,21.75,-159.25,7215:219:3,0.01
Strongylocentrotus,purpuratus,21.75,-159.75,7215:219:4,0.01
Strongylocentrotus,purpuratus,22.25,-159.25,7215:229:1,0.01
Strongylocentrotus,purpuratus,22.25,-159.75,7215:229:2,0.01
Strongylocentrotus,purpuratus,21.75,-160.25,7216:110:3,0.01
Strongylocentrotus,purpuratus,22.25,-160.25,7216:120:1,0.01
