Mapping parameters for Mesocentrotus franciscanus (red sea urchin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 323): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Mesocentrotus,franciscanus,56.75,-152.25,7515:362:3,0.28
Mesocentrotus,franciscanus,57.25,-150.75,7515:370:2,0.32
Mesocentrotus,franciscanus,57.75,-150.25,7515:370:3,0.37
Mesocentrotus,franciscanus,57.25,-151.25,7515:371:1,0.23
Mesocentrotus,franciscanus,58.25,-150.25,7515:380:1,0.33
Mesocentrotus,franciscanus,58.25,-150.75,7515:380:2,0.21
Mesocentrotus,franciscanus,58.75,-150.75,7515:380:4,0.34
Mesocentrotus,franciscanus,58.75,-151.75,7515:381:4,0.22
Mesocentrotus,franciscanus,59.25,-151.25,7515:391:1,0.29
Mesocentrotus,franciscanus,42.25,-124.75,7412:124:2,0.43
Mesocentrotus,franciscanus,43.25,-124.25,7412:134:1,0.42
Mesocentrotus,franciscanus,43.25,-124.75,7412:134:2,0.50
Mesocentrotus,franciscanus,43.75,-124.25,7412:134:3,0.56
Mesocentrotus,franciscanus,44.25,-124.75,7412:144:2,0.47
Mesocentrotus,franciscanus,44.75,-124.25,7412:144:3,0.49
Mesocentrotus,franciscanus,47.25,-122.25,7412:372:1,0.51
Mesocentrotus,franciscanus,47.25,-124.25,7412:374:1,0.48
Mesocentrotus,franciscanus,55.75,-131.25,7513:351:3,0.57
Mesocentrotus,franciscanus,55.75,-133.25,7513:353:3,0.45
Mesocentrotus,franciscanus,56.75,-133.75,7513:363:4,0.52
Mesocentrotus,franciscanus,57.25,-134.25,7513:374:1,0.47
Mesocentrotus,franciscanus,57.25,-134.75,7513:374:2,0.58
Mesocentrotus,franciscanus,57.75,-134.75,7513:374:4,0.51
Mesocentrotus,franciscanus,58.25,-134.75,7513:384:2,0.44
Mesocentrotus,franciscanus,58.25,-135.25,7513:485:1,0.52
Mesocentrotus,franciscanus,58.25,-135.75,7513:485:2,0.46
Mesocentrotus,franciscanus,58.75,-135.25,7513:485:3,0.49
Mesocentrotus,franciscanus,58.75,-135.75,7513:485:4,0.43
Mesocentrotus,franciscanus,58.75,-136.25,7513:486:3,0.43
Mesocentrotus,franciscanus,58.75,-139.25,7513:489:3,0.41
Mesocentrotus,franciscanus,59.25,-138.25,7513:498:1,0.45
Mesocentrotus,franciscanus,59.25,-140.25,7514:390:1,0.53
Mesocentrotus,franciscanus,59.75,-142.75,7514:392:4,0.42
Mesocentrotus,franciscanus,58.25,-148.75,7514:488:2,0.47
Mesocentrotus,franciscanus,58.25,-149.75,7514:489:2,0.48
Mesocentrotus,franciscanus,59.25,-147.75,7514:497:2,0.56
Mesocentrotus,franciscanus,59.25,-149.75,7514:499:2,0.46
Mesocentrotus,franciscanus,59.75,-149.75,7514:499:4,0.58
Mesocentrotus,franciscanus,58.75,-150.25,7515:380:3,0.57
Mesocentrotus,franciscanus,59.25,-150.75,7515:390:2,0.54
Mesocentrotus,franciscanus,60.75,-147.75,7614:207:4,0.55
Mesocentrotus,franciscanus,60.25,-148.25,7614:208:1,0.59
Mesocentrotus,franciscanus,60.75,-148.25,7614:208:3,0.44
Mesocentrotus,franciscanus,40.75,-124.75,7412:104:4,0.63
Mesocentrotus,franciscanus,41.25,-124.75,7412:114:2,0.72
Mesocentrotus,franciscanus,42.75,-124.75,7412:124:4,0.64
Mesocentrotus,franciscanus,44.25,-124.25,7412:144:1,0.61
Mesocentrotus,franciscanus,46.75,-124.75,7412:364:4,0.63
Mesocentrotus,franciscanus,47.75,-122.25,7412:372:3,0.64
Mesocentrotus,franciscanus,51.25,-129.25,7512:219:1,0.69
Mesocentrotus,franciscanus,51.75,-129.25,7512:219:3,0.73
Mesocentrotus,franciscanus,55.75,-132.25,7513:352:3,0.68
Mesocentrotus,franciscanus,56.75,-132.75,7513:362:4,0.73
Mesocentrotus,franciscanus,56.25,-133.75,7513:363:2,0.72
Mesocentrotus,franciscanus,56.75,-133.25,7513:363:3,0.61
Mesocentrotus,franciscanus,56.75,-134.25,7513:364:3,0.61
Mesocentrotus,franciscanus,56.75,-134.75,7513:364:4,0.68
Mesocentrotus,franciscanus,56.25,-135.25,7513:465:1,0.77
Mesocentrotus,franciscanus,57.75,-135.25,7513:475:3,0.70
Mesocentrotus,franciscanus,58.25,-136.25,7513:486:1,0.67
Mesocentrotus,franciscanus,58.75,-136.75,7513:486:4,0.66
Mesocentrotus,franciscanus,59.25,-148.25,7514:498:1,0.66
Mesocentrotus,franciscanus,59.25,-148.75,7514:498:2,0.62
Mesocentrotus,franciscanus,59.75,-148.25,7514:498:3,0.78
Mesocentrotus,franciscanus,59.75,-148.75,7514:498:4,0.76
Mesocentrotus,franciscanus,59.75,-149.25,7514:499:3,0.70
Mesocentrotus,franciscanus,59.25,-150.25,7515:390:1,0.64
Mesocentrotus,franciscanus,60.25,-147.75,7614:207:2,0.66
Mesocentrotus,franciscanus,60.75,-147.25,7614:207:3,0.77
Mesocentrotus,franciscanus,47.25,-124.75,7412:374:2,1.00
Mesocentrotus,franciscanus,47.75,-124.25,7412:374:3,1.00
Mesocentrotus,franciscanus,47.75,-124.75,7412:374:4,1.00
Mesocentrotus,franciscanus,48.25,-122.25,7412:382:1,0.83
Mesocentrotus,franciscanus,48.25,-122.75,7412:382:2,0.87
Mesocentrotus,franciscanus,48.75,-122.25,7412:382:3,0.95
Mesocentrotus,franciscanus,48.75,-122.75,7412:382:4,1.00
Mesocentrotus,franciscanus,48.25,-123.25,7412:383:1,0.93
Mesocentrotus,franciscanus,48.25,-123.75,7412:383:2,0.95
Mesocentrotus,franciscanus,48.75,-123.25,7412:383:3,1.00
Mesocentrotus,franciscanus,48.75,-123.75,7412:383:4,1.00
Mesocentrotus,franciscanus,48.25,-124.25,7412:384:1,1.00
Mesocentrotus,franciscanus,48.25,-124.75,7412:384:2,1.00
Mesocentrotus,franciscanus,48.75,-124.25,7412:384:3,1.00
Mesocentrotus,franciscanus,48.75,-124.75,7412:384:4,1.00
Mesocentrotus,franciscanus,49.25,-122.75,7412:392:2,1.00
Mesocentrotus,franciscanus,49.25,-123.25,7412:393:1,1.00
Mesocentrotus,franciscanus,49.25,-123.75,7412:393:2,0.90
Mesocentrotus,franciscanus,49.75,-123.75,7412:393:4,1.00
Mesocentrotus,franciscanus,49.25,-124.25,7412:394:1,0.88
Mesocentrotus,franciscanus,49.25,-124.75,7412:394:2,1.00
Mesocentrotus,franciscanus,49.75,-124.25,7412:394:3,0.96
Mesocentrotus,franciscanus,49.75,-124.75,7412:394:4,1.00
Mesocentrotus,franciscanus,48.75,-125.25,7412:485:3,1.00
Mesocentrotus,franciscanus,48.75,-125.75,7412:485:4,1.00
Mesocentrotus,franciscanus,48.75,-126.25,7412:486:3,0.86
Mesocentrotus,franciscanus,49.25,-125.75,7412:495:2,1.00
Mesocentrotus,franciscanus,49.75,-125.25,7412:495:3,1.00
Mesocentrotus,franciscanus,49.25,-126.25,7412:496:1,1.00
Mesocentrotus,franciscanus,49.25,-126.75,7412:496:2,1.00
Mesocentrotus,franciscanus,49.75,-126.75,7412:496:4,1.00
Mesocentrotus,franciscanus,49.75,-127.25,7412:497:3,1.00
Mesocentrotus,franciscanus,49.75,-127.75,7412:497:4,0.95
Mesocentrotus,franciscanus,50.25,-124.75,7512:104:2,1.00
Mesocentrotus,franciscanus,50.25,-125.25,7512:205:1,0.99
Mesocentrotus,franciscanus,50.25,-125.75,7512:205:2,1.00
Mesocentrotus,franciscanus,50.25,-126.25,7512:206:1,1.00
Mesocentrotus,franciscanus,50.75,-126.25,7512:206:3,1.00
Mesocentrotus,franciscanus,50.75,-126.75,7512:206:4,1.00
Mesocentrotus,franciscanus,50.25,-127.25,7512:207:1,1.00
Mesocentrotus,franciscanus,50.25,-127.75,7512:207:2,1.00
Mesocentrotus,franciscanus,50.75,-127.25,7512:207:3,1.00
Mesocentrotus,franciscanus,50.75,-127.75,7512:207:4,1.00
Mesocentrotus,franciscanus,50.25,-128.25,7512:208:1,1.00
Mesocentrotus,franciscanus,50.75,-128.25,7512:208:3,1.00
Mesocentrotus,franciscanus,50.75,-128.75,7512:208:4,1.00
Mesocentrotus,franciscanus,50.75,-129.25,7512:209:3,1.00
Mesocentrotus,franciscanus,51.25,-127.25,7512:217:1,1.00
Mesocentrotus,franciscanus,51.25,-127.75,7512:217:2,1.00
Mesocentrotus,franciscanus,51.75,-127.75,7512:217:4,1.00
Mesocentrotus,franciscanus,51.25,-128.25,7512:218:1,1.00
Mesocentrotus,franciscanus,51.25,-128.75,7512:218:2,0.88
Mesocentrotus,franciscanus,51.75,-128.25,7512:218:3,1.00
Mesocentrotus,franciscanus,51.75,-128.75,7512:218:4,1.00
Mesocentrotus,franciscanus,52.25,-127.75,7512:227:2,1.00
Mesocentrotus,franciscanus,52.25,-128.25,7512:228:1,1.00
Mesocentrotus,franciscanus,52.25,-128.75,7512:228:2,1.00
Mesocentrotus,franciscanus,52.75,-128.25,7512:228:3,1.00
Mesocentrotus,franciscanus,52.75,-128.75,7512:228:4,1.00
Mesocentrotus,franciscanus,52.25,-129.25,7512:229:1,1.00
Mesocentrotus,franciscanus,52.75,-129.25,7512:229:3,1.00
Mesocentrotus,franciscanus,52.75,-129.75,7512:229:4,0.97
Mesocentrotus,franciscanus,53.75,-128.75,7512:238:4,1.00
Mesocentrotus,franciscanus,53.25,-129.25,7512:239:1,1.00
Mesocentrotus,franciscanus,53.25,-129.75,7512:239:2,1.00
Mesocentrotus,franciscanus,53.75,-129.25,7512:239:3,1.00
Mesocentrotus,franciscanus,53.75,-129.75,7512:239:4,1.00
Mesocentrotus,franciscanus,54.25,-129.75,7512:249:2,1.00
Mesocentrotus,franciscanus,54.75,-129.75,7512:249:4,1.00
Mesocentrotus,franciscanus,55.25,-129.75,7512:459:2,1.00
Mesocentrotus,franciscanus,51.75,-130.75,7513:110:4,0.98
Mesocentrotus,franciscanus,51.75,-131.25,7513:111:3,0.97
Mesocentrotus,franciscanus,52.25,-130.75,7513:120:2,1.00
Mesocentrotus,franciscanus,52.75,-130.75,7513:120:4,1.00
Mesocentrotus,franciscanus,52.25,-131.25,7513:121:1,1.00
Mesocentrotus,franciscanus,52.25,-131.75,7513:121:2,1.00
Mesocentrotus,franciscanus,52.75,-131.25,7513:121:3,1.00
Mesocentrotus,franciscanus,52.75,-131.75,7513:121:4,1.00
Mesocentrotus,franciscanus,52.75,-132.25,7513:122:3,0.99
Mesocentrotus,franciscanus,53.25,-130.25,7513:130:1,1.00
Mesocentrotus,franciscanus,53.25,-130.75,7513:130:2,0.97
Mesocentrotus,franciscanus,53.75,-130.25,7513:130:3,1.00
Mesocentrotus,franciscanus,53.75,-130.75,7513:130:4,1.00
Mesocentrotus,franciscanus,53.25,-131.25,7513:131:1,1.00
Mesocentrotus,franciscanus,53.25,-131.75,7513:131:2,1.00
Mesocentrotus,franciscanus,53.75,-131.25,7513:131:3,1.00
Mesocentrotus,franciscanus,53.75,-131.75,7513:131:4,1.00
Mesocentrotus,franciscanus,53.25,-132.25,7513:132:1,1.00
Mesocentrotus,franciscanus,53.25,-132.75,7513:132:2,0.99
Mesocentrotus,franciscanus,53.75,-132.25,7513:132:3,1.00
Mesocentrotus,franciscanus,53.75,-132.75,7513:132:4,1.00
Mesocentrotus,franciscanus,53.75,-133.25,7513:133:3,1.00
Mesocentrotus,franciscanus,54.25,-130.25,7513:140:1,1.00
Mesocentrotus,franciscanus,54.25,-130.75,7513:140:2,1.00
Mesocentrotus,franciscanus,54.75,-130.25,7513:140:3,0.95
Mesocentrotus,franciscanus,54.75,-130.75,7513:140:4,1.00
Mesocentrotus,franciscanus,54.25,-131.25,7513:141:1,1.00
Mesocentrotus,franciscanus,54.25,-131.75,7513:141:2,1.00
Mesocentrotus,franciscanus,54.75,-131.25,7513:141:3,1.00
Mesocentrotus,franciscanus,54.75,-131.75,7513:141:4,1.00
Mesocentrotus,franciscanus,54.25,-132.25,7513:142:1,1.00
Mesocentrotus,franciscanus,54.25,-132.75,7513:142:2,1.00
Mesocentrotus,franciscanus,54.75,-132.25,7513:142:3,1.00
Mesocentrotus,franciscanus,54.75,-132.75,7513:142:4,1.00
Mesocentrotus,franciscanus,54.25,-133.25,7513:143:1,1.00
Mesocentrotus,franciscanus,54.75,-133.25,7513:143:3,1.00
Mesocentrotus,franciscanus,54.75,-133.75,7513:143:4,1.00
Mesocentrotus,franciscanus,55.25,-130.25,7513:350:1,1.00
Mesocentrotus,franciscanus,55.25,-130.75,7513:350:2,1.00
Mesocentrotus,franciscanus,55.25,-131.25,7513:351:1,1.00
Mesocentrotus,franciscanus,55.25,-131.75,7513:351:2,1.00
Mesocentrotus,franciscanus,55.75,-131.75,7513:351:4,1.00
Mesocentrotus,franciscanus,55.25,-132.25,7513:352:1,1.00
Mesocentrotus,franciscanus,55.25,-132.75,7513:352:2,1.00
Mesocentrotus,franciscanus,55.75,-132.75,7513:352:4,0.93
Mesocentrotus,franciscanus,55.25,-133.25,7513:353:1,1.00
Mesocentrotus,franciscanus,55.25,-133.75,7513:353:2,1.00
Mesocentrotus,franciscanus,55.75,-133.75,7513:353:4,1.00
Mesocentrotus,franciscanus,55.25,-134.25,7513:354:1,0.92
Mesocentrotus,franciscanus,55.75,-134.25,7513:354:3,1.00
Mesocentrotus,franciscanus,55.75,-134.75,7513:354:4,1.00
Mesocentrotus,franciscanus,56.25,-132.25,7513:362:1,1.00
Mesocentrotus,franciscanus,56.25,-132.75,7513:362:2,1.00
Mesocentrotus,franciscanus,56.25,-133.25,7513:363:1,0.82
Mesocentrotus,franciscanus,56.25,-134.25,7513:364:1,0.82
Mesocentrotus,franciscanus,56.25,-134.75,7513:364:2,1.00
Mesocentrotus,franciscanus,56.75,-135.25,7513:465:3,1.00
Mesocentrotus,franciscanus,56.75,-135.75,7513:465:4,1.00
Mesocentrotus,franciscanus,57.25,-135.25,7513:475:1,0.97
Mesocentrotus,franciscanus,57.25,-135.75,7513:475:2,1.00
Mesocentrotus,franciscanus,57.75,-135.75,7513:475:4,0.93
Mesocentrotus,franciscanus,57.25,-136.25,7513:476:1,1.00
Mesocentrotus,franciscanus,57.75,-136.25,7513:476:3,1.00
Mesocentrotus,franciscanus,57.75,-136.75,7513:476:4,1.00
Mesocentrotus,franciscanus,58.25,-136.75,7513:486:2,1.00
Mesocentrotus,franciscanus,58.25,-137.25,7513:487:1,1.00
Mesocentrotus,franciscanus,58.75,-137.25,7513:487:3,0.90
Mesocentrotus,franciscanus,58.75,-137.75,7513:487:4,1.00
Mesocentrotus,franciscanus,58.25,-138.25,7513:488:1,1.00
Mesocentrotus,franciscanus,58.25,-138.75,7513:488:2,1.00
Mesocentrotus,franciscanus,58.75,-138.25,7513:488:3,1.00
Mesocentrotus,franciscanus,58.75,-138.75,7513:488:4,0.98
Mesocentrotus,franciscanus,58.25,-139.25,7513:489:1,0.98
Mesocentrotus,franciscanus,59.25,-138.75,7513:498:2,0.92
Mesocentrotus,franciscanus,59.25,-139.25,7513:499:1,1.00
Mesocentrotus,franciscanus,59.25,-139.75,7513:499:2,1.00
Mesocentrotus,franciscanus,59.75,-139.75,7513:499:4,0.94
Mesocentrotus,franciscanus,59.75,-140.25,7514:390:3,1.00
Mesocentrotus,franciscanus,59.75,-140.75,7514:390:4,0.93
Mesocentrotus,franciscanus,59.75,-141.25,7514:391:3,1.00
Mesocentrotus,franciscanus,59.75,-141.75,7514:391:4,1.00
Mesocentrotus,franciscanus,59.75,-142.25,7514:392:3,1.00
Mesocentrotus,franciscanus,59.75,-143.25,7514:393:3,0.84
Mesocentrotus,franciscanus,59.75,-143.75,7514:393:4,1.00
Mesocentrotus,franciscanus,59.75,-144.25,7514:394:3,1.00
Mesocentrotus,franciscanus,59.75,-144.75,7514:394:4,1.00
Mesocentrotus,franciscanus,59.75,-145.25,7514:495:3,0.89
Mesocentrotus,franciscanus,59.75,-145.75,7514:495:4,0.86
Mesocentrotus,franciscanus,59.25,-146.25,7514:496:1,0.97
Mesocentrotus,franciscanus,59.25,-146.75,7514:496:2,0.88
Mesocentrotus,franciscanus,59.75,-146.25,7514:496:3,1.00
Mesocentrotus,franciscanus,59.75,-146.75,7514:496:4,1.00
Mesocentrotus,franciscanus,59.75,-147.25,7514:497:3,1.00
Mesocentrotus,franciscanus,59.75,-147.75,7514:497:4,0.84
Mesocentrotus,franciscanus,60.25,-144.75,7614:104:2,0.84
Mesocentrotus,franciscanus,60.25,-145.25,7614:205:1,0.91
Mesocentrotus,franciscanus,60.25,-145.75,7614:205:2,0.96
Mesocentrotus,franciscanus,60.25,-146.25,7614:206:1,1.00
Mesocentrotus,franciscanus,60.25,-146.75,7614:206:2,1.00
Mesocentrotus,franciscanus,60.75,-146.75,7614:206:4,0.91
Mesocentrotus,franciscanus,60.25,-147.25,7614:207:1,0.88
